scenario,method,metric,n,difference_vs_q_mean,difference_vs_q_se,difference_vs_q_ci95,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero
recurring_composition,empirical_dyna,tail_dynamic_regret,20,-0.025944630175918748,0.021103373198050362,0.04136261146817871,-0.06697373482628649,0.013283197450228932,False
recurring_composition,ema_dyna,mean_normalized_dynamic_regret,20,-0.1007311895649486,0.022832250703259338,0.0447512113783883,-0.14462992915090717,-0.057184481512581924,True
recurring_composition,ema_dyna,postchange_regret_500,20,-0.03540348547777825,0.01566333035158509,0.030700127489106777,-0.06592931944264574,-0.006786154790257029,True
recurring_composition,ema_dyna,postchange_regret_2000,20,-0.02509202092927615,0.019764862610791474,0.038739130717151286,-0.06344787332228605,0.011058424706775581,False
recurring_composition,ema_dyna,tail_dynamic_regret,20,-0.03559048965752458,0.01666149429533788,0.032656528818862246,-0.06695777516741981,-0.0035885537588250696,True
recurring_composition,prioritized_ema,mean_normalized_dynamic_regret,20,-0.08079305396324174,0.02233001416048731,0.04376682775455513,-0.12352502669417557,-0.038036675358675005,True
recurring_composition,prioritized_ema,postchange_regret_500,20,-0.04876161946575398,0.023439955022211918,0.04594231184353536,-0.09800673587711571,-0.008608020630906385,True
recurring_composition,prioritized_ema,postchange_regret_2000,20,-0.04300962972210903,0.019809099000109263,0.038825834040214155,-0.08118191214249168,-0.004483224629985066,True
recurring_composition,prioritized_ema,tail_dynamic_regret,20,-0.06361683226338448,0.020320502709183924,0.03982818531000049,-0.09970370578475907,-0.02249647281790412,True
recurring_composition,cafd_uniform,mean_normalized_dynamic_regret,20,-0.20070315478719528,0.015175614562408613,0.029744204542320882,-0.23090835394273543,-0.17314587901700443,True
recurring_composition,cafd_uniform,postchange_regret_500,20,-0.014506132550828587,0.015103344238561875,0.029602554707581274,-0.042748003879554644,0.014700855559765722,False
recurring_composition,cafd_uniform,postchange_regret_2000,20,-0.08159439946292406,0.011856605117157061,0.02323894602962784,-0.10309895427162048,-0.058613475120186366,True
recurring_composition,cafd_uniform,tail_dynamic_regret,20,-0.07127263250693536,0.013114618658367173,0.02570465257039966,-0.09533609341749023,-0.04441775630008634,True
recurring_composition,cafd_lite,mean_normalized_dynamic_regret,20,-0.20726552397019998,0.013698991938732235,0.02685002419991518,-0.233631569927361,-0.1811225348825687,True
recurring_composition,cafd_lite,postchange_regret_500,20,-0.022316753130947463,0.012903155063539324,0.025290183924537076,-0.04694844181454105,0.0016384605485093003,False
recurring_composition,cafd_lite,postchange_regret_2000,20,-0.08170297500110044,0.012052239195952004,0.023622388824065928,-0.10415462922642181,-0.0581256317379583,True
recurring_composition,cafd_lite,tail_dynamic_regret,20,-0.07311183488318039,0.009349403484205512,0.018324830829042803,-0.08990875541448423,-0.05360187853690174,True
recurring_composition,cafd_surprise,mean_normalized_dynamic_regret,20,-0.19252078413599313,0.015852114790639783,0.031070144989653974,-0.22339557889288578,-0.16277567899409665,True
recurring_composition,cafd_surprise,postchange_regret_500,20,0.06070836515153636,0.017550767285892697,0.03439950388034969,0.02597889824335902,0.0931161192741191,True
recurring_composition,cafd_surprise,postchange_regret_2000,20,-0.0601885736182269,0.013348198535671253,0.026162469129915655,-0.08383652183206691,-0.034035107009789144,True
recurring_composition,cafd_surprise,tail_dynamic_regret,20,-0.06394029062147125,0.011119392050359958,0.02179400841870552,-0.08435140814294495,-0.0421360838215709,True
recurring_composition,oracle_dyna,mean_normalized_dynamic_regret,20,-0.21877291517751946,0.013596392387296926,0.026648929079101973,-0.24605466045262253,-0.19372005729195774,True
recurring_composition,oracle_dyna,postchange_regret_500,20,0.006747183047010668,0.01093360037697132,0.021429856738863787,-0.014412080465244437,0.02760366288231447,False
recurring_composition,oracle_dyna,postchange_regret_2000,20,-0.09066486439101298,0.01028248360628992,0.020153667868328243,-0.10923097001638081,-0.07053211700772664,True
recurring_composition,oracle_dyna,tail_dynamic_regret,20,-0.09737600845407764,0.009122332436765154,0.017879771576059703,-0.11420396490782977,-0.07996525259477714,True
